Data_for_the_day,Payment_Systems___Daily_Data_Publication__updated_as_on_July_1__2020_,Unnamed__2,Unnamed__3,Unnamed__4,Unnamed__5,Unnamed__6,Unnamed__7,Unnamed__8,Unnamed__9,Unnamed__10,Unnamed__11,Unnamed__12,Unnamed__13,Unnamed__14,Unnamed__15,Unnamed__16,Unnamed__17,Unnamed__18,Unnamed__19,Unnamed__20,Unnamed__21,Unnamed__22,Unnamed__23,Unnamed__24
,(Volume in lakhs; Value in INR Crores),,,,,,,,,,,,,,,,,,,,,,,
,PAYMENT TRANSACTIONS,,,,,,,,,,,,,,,,,,,,CASH WITHDRAWAL,,,
,RBI Operated,,,,NPCI Operated,,,,,,,,,,,,,,,,,,,
,RTGS,,NEFT,,AePS,,UPI,,IMPS,,NACH Credit,,NACH Debit,,NETC,,BBPS,,CTS,,NFS (through ATMs),,AePS (through micro-ATMs / BCs),
,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val,Vol,Val
"June 1, 2020",4.85,436996.69,172.11,104275.13,0.44,7.68,476.97,10413.11,76.81,9072.55,84.86,6326.17,20.12,2084.74,23.82,44.37,5.43,95.36,17.55,15056.24,105.82,4764.81,29.02,696.56
"June 2, 2020",4.54,361878.87,100.07,65259.02,0.44,7.67,476.78,9951.30,72.25,8215.41,143.33,14387.49,63.13,3613.36,24.38,46.23,5.21,81.15,18.25,16041.19,105.13,4781.97,28.30,676.75
"June 3, 2020",4.30,330632.89,100.36,62985.75,0.44,7.48,456.26,9622.38,68.15,7653.71,40.66,2985.88,38.46,2288.95,25.36,47.21,5.24,81.36,16.76,14536.47,99.49,4426.92,28.85,668.88
"June 4, 2020",4.35,329072.45,94.66,63148.29,0.45,7.32,463.05,9639.50,70.69,7705.89,286.04,5113.36,37.80,3592.44,25.81,48.39,5.51,83.05,17.39,14865.92,101.38,4424.53,29.57,648.92
"June 5, 2020",4.56,365468.95,111.26,68932.72,0.48,7.32,464.79,9539.52,73.00,7705.25,70.96,3166.10,88.48,9558.57,25.99,48.60,5.33,85.94,18.25,15214.06,101.19,4321.01,32.65,646.99
"June 6, 2020",3.79,111618.22,77.05,60118.06,0.54,7.71,458.65,9119.20,70.35,7076.03,55.08,3528.03,20.46,2336.25,26.74,49.48,5.71,88.65,17.56,13210.67,106.47,4539.73,41.61,722.72
